#domain,port,ioc,ip
dec1.synology.me,60443,Possible GLKVM Domain (Unverified),70.51.211.121
demomfinante.alexserv.xyz,8282,Possible PiKVM Domain (Unverified),82.77.117.180
derp.taigelinganxian.asia,8443,Possible PiKVM Domain (Unverified),8.210.124.104
derp.ziir.top,17172,Possible PiKVM Domain (Unverified),162.14.78.172
dev.cptarn.com,25000,Possible GLKVM Domain (Unverified),213.119.77.96
dev.kakapo.by,4545,Possible NanoKVM Domain (Unverified),178.124.156.241
device-05a0108e-33c5-411e-bc4c-612968c81d00.remotewd.com,8443,Possible PiKVM Domain (Unverified),95.31.214.45
device-3234ddd7-5a1f-4de6-b73a-1da38ab9259d.remotewd.com,445,Possible GLKVM Domain (Unverified),162.191.89.154
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,443,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-54dd3771-f51e-479c-9762-3061ae6456bb.remotewd.com,8899,Possible TinyPilot KVM Domain (Unverified),76.135.48.232
device-d6c40d26-ab59-447e-b619-d7565ade8555.remotewd.com,80,Possible NanoKVM Domain (Unverified),213.136.57.5
dfder.synology.me,50001,Possible NanoKVM Domain (Unverified),61.221.207.45
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
docs.sebastienpont.fr,8006,Possible PiKVM Domain (Unverified),92.167.89.247
ds.home.meowtopia.space,580,Possible NanoKVM Domain (Unverified),223.167.38.126
dune.royalm.dk,80,Possible PiKVM Domain (Unverified),65.108.227.254
dvg.dyndns.org,10180,Possible NanoKVM Domain (Unverified),212.220.203.67
dvr-latam.watcha.live,11225,Possible NanoKVM Domain (Unverified),138.97.201.116
eademidkovk.direct.quickconnect.to,3380,Possible NanoKVM Domain (Unverified),95.154.109.69
eclext.asuscomm.com,5445,Possible PiKVM Domain (Unverified),120.245.61.69
edge.wlianhao.asia,9443,Possible PiKVM Domain (Unverified),64.90.3.189
emby.tenshigoan.ru,16533,Possible NanoKVM Domain (Unverified),95.161.90.242
enonic.sharad.co.uk,3104,Possible TinyPilot KVM Domain (Unverified),45.132.142.135
essa.amn.team,8443,Possible GLKVM Domain (Unverified),150.136.117.14
esxi.atapon.com,8088,Possible NanoKVM Domain (Unverified),118.175.253.144
fans.patben8.net,911,Possible NanoKVM Domain (Unverified),83.83.58.28
fb.xevel.ru,2280,Possible NanoKVM Domain (Unverified),85.234.24.182
firefly.kaliwe.ru,8888,Possible NanoKVM Domain (Unverified),87.228.164.95
flc.oh.3cx.us,80,Possible NanoKVM Domain (Unverified),96.11.67.2
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
fongame.tplinkdns.com,8020,Possible NanoKVM Domain (Unverified),176.193.127.63
frankram.ddns.net,9443,Possible PiKVM Domain (Unverified),217.63.205.143
frid.synology.me,4343,Possible NanoKVM Domain (Unverified),37.204.54.154
fs.winter.com.de,5830,Possible PiKVM Domain (Unverified),79.202.27.150
ganovquickservice.direct.quickconnect.to,59472,Possible NanoKVM Domain (Unverified),78.157.227.154
garqi.ovh,38451,Possible NanoKVM Domain (Unverified),82.67.95.15
gbs.gopniks.ru,37544,Possible NanoKVM Domain (Unverified),188.19.14.103
gd.zhypro.cn,51111,Possible GLKVM Domain (Unverified),106.52.180.169
gd.zhypro.cn,51112,Possible GLKVM Domain (Unverified),106.52.180.169
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.nekrylov.com,2323,Possible NanoKVM Domain (Unverified),176.123.217.148
git.tdehaeze.xyz,47392,Possible PiKVM Domain (Unverified),82.66.44.13
gitlab-bridge.euroident.de,4433,Possible GLKVM Domain (Unverified),87.140.5.121
gitlab-page.itpours.com,3662,Possible PiKVM Domain (Unverified),171.35.84.50
